,level_0,index,AGENCY_ID,AGENCY_NAME,AGENCY_AKA_KEYWORDS,AGENCY_DESCR,AGENCY_HRS,AGENCY_TXT_HRS,AGENCY_WEB_URL,AGENCY_FB_URL,AGENCY_TW_URL,AGENCY_PHONE,AGENCY_PHONE_NOTE
0,0,1,1,Tippecanoe Valley School Corporation,,"Administers the elementary, middle, and high schools within the district.","{""open"":{""Tuesday"":[[[7,30],[16,30]]],""Monday"":[[[7,30],[16,30]]],""Friday"":[[[7,30],[16,30]]],""Thursday"":[[[7,30],[16,30]]],""Wednesday"":[[[7,30],[16,30]]]},""closed"":[]}",Mon-Fri 7:30am-4:30pm,www.tvsc.k12.in.us,,,574-598-2759,
1,1,2,2,Guidance Ministries,,"A nonprofit that provides a food and clothing pantry, homeless drop-in services, special education advocacy, case management, counseling services, holiday gift programs, and a soup kitchen to those in need.",,"Tues and Thurs 9am-6pm; Mon, Wed, and Fri 9am-4pm",www.guidanceministries.com,,,574-296-7192,
2,2,3,3,Elkhart County Prosecutor's office,"Elhart County Victim's Assistance, Elkhart County Victim Assistance Division","Represents the state of Indiana in felony and misdemeanor criminal prosecutions, conducts criminal investigations, supervises Grand Jury proceedings, enforces child support orders, conducts juvenile adjudication and prosecution, enforces traffic violations, and provides information and assistance to victims of crime.",,Mon 8am-noon and 1pm-5pm; Tues-Fri 8am-noon and 1pm-4pm,www.elkhartcountyprosecutor.com,,,574-296-1888,
3,3,4,4,United Way of Fulton County,Fulton County United Way,"A nonprofit agency that partners with local human service organizations, businesses, and government agencies to support and strengthen the community.","{""open"":{""Friday"":[[[10,0],[15,0]]],""Thursday"":[[[10,0],[15,0]]],""Wednesday"":[[[10,0],[15,0]]],""Tuesday"":[[[10,0],[15,0]]],""Monday"":[[[10,0],[15,0]]]},""closed"":[]}",Mon-Fri 10am-3pm,,www.facebook.com/Fulton-County-United-Way-1444440419155732/,,574-223-8929,
4,4,5,5,Fulton County Health Department,,"A government agency that provides public health nursing, works to control the spread of communicable disease, investigates environmental hazards, and maintains vital records for the county.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.co.fulton.in.us,,,574-223-2881,
5,5,6,6,United Ministries of Fulton County,,"A nonprofit organization with a charitable food pantry, emergency relief fund and holiday assistance.",,Vary,,,,574-223-4802,
6,6,7,7,Compassionate Health Center,,A volunteer-ran organization that provides basic health services for the uninsured of Fulton County.,,Mon and Wed 9am-4pm Clinic: Tues and Thurs 9am-3pm,www.chcfulton.org,,,574-223-6080,
7,7,8,8,Salvation Army Goshen,,Offers food pantries and various financial assistance programs to those in need.,,"Mon, Tues, Thurs, and Fri 9am-noon and 1:30pm-4pm; Wed 9am-noon",www.sagoshen.org,,,574-533-9584,
8,8,9,9,Middlebury Community Food Pantry,,A nonprofit organization that provides a charitable food pantry to all people in need.,,Mon-Thurs 9am-2pm,www.firstmennonite.net,,,574-825-5135,
9,9,10,10,Church Without Walls,,"A church with worship services and charitable outreach, including a food pantry and clothing pantry, limited financial assistance, and transitional housing.","{""open"":{""Thursday"":[[[9,0],[12,0]]],""Wednesday"":[[[9,0],[12,0]]],""Tuesday"":[[[9,0],[12,0]]]},""closed"":[]}",Tues-Thurs 9am-noon,www.emergeministries.wordpress.com,,,574-293-0776,
10,10,11,11,Center For Healing and Hope,,A nonprofit organization that offers non-emergency community clinics for uninsured or under-insured individuals in need of health care services.,"{""open"":{""Monday"":[[[9,0],[16,30]]],""Tuesday"":[[[9,0],[16,30]]],""Wednesday"":[[[9,0],[16,30]]],""Thursday"":[[[9,0],[16,30]]],""Friday"":[[[8,30],[12,30]]]},""closed"":[]}",Mon-Thurs 9am-4:30pm; Fri 8:30am-12:30pm,www.chhclinics.org,,,574-534-4744,
11,11,12,12,Samaritan Health and Living Center,,A faith-based nonprofit organization providing therapeutic counseling services.,"{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.elkhartsamaritan.org,,,574-262-3597,
12,12,13,13,Aids Community Action Group,,A nonprofit organization that provides AIDS/HIV related information and advocacy.,"{""open"":{""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon 8am-5pm; Tues-Fri 8am-4pm,,,,574-536-3288,
